d0_entry_id,canonical_venue_id,canonical_name,amap_poi_id,amap_name,amap_category,amap_keytag,amap_typecode,overall_status,source,parent_poi_id,subvenue_role,bge_model,embedding_backend,embedding_device,keytag_for_bge,keytag_for_bge_source,category_vector_id,keytag_vector_id,category_keytag_cosine
D0_AMAP_001,B0MDLKEG3Y,CH8 GT Live Space,B0MDLKEG3Y,CH8 GT Live Space,体育休闲服务;娱乐场所;酒吧,酒吧,080304,boundary_case,showstart_lookup,,,BAAI/bge-m3,sentence-transformers,cuda,酒吧,manual_web_evidence,D0_AMAP_001_amap_category,D0_AMAP_001_keytag_for_bge,0.79594803
D0_AMAP_002,B0FFHL47AW,摩登天空(瑞虹天地月亮湾店),B0FFHL47AW,摩登天空(瑞虹天地月亮湾店),体育休闲服务;娱乐场所;酒吧,酒吧,080304,boundary_case,showstart_lookup,,,BAAI/bge-m3,sentence-transformers,cuda,酒吧,amap_keytag,D0_AMAP_002_amap_category,D0_AMAP_002_keytag_for_bge,0.71796554
D0_AMAP_003,B0J19RX3JH,DS·衡8 live house,B0J19RX3JH,DS·衡8 live house,体育休闲服务;体育休闲服务场所;体育休闲服务场所,livehouse,080000,core_candidate,saojie_31,,,BAAI/bge-m3,sentence-transformers,cuda,livehouse,amap_keytag,D0_AMAP_003_amap_category,D0_AMAP_003_keytag_for_bge,0.33343905
D0_AMAP_004,B0L0VMI3L8,FG CLUB,B0L0VMI3L8,FG CLUB,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,livehouse,061100,core_candidate,saojie_31,,,BAAI/bge-m3,sentence-transformers,cuda,livehouse,amap_keytag,D0_AMAP_004_amap_category,D0_AMAP_004_keytag_for_bge,0.38906831
D0_AMAP_005,B0FFHE28PW,Horse露台酒吧·Live House(徐家汇店),B0FFHE28PW,Horse露台酒吧·Live House(徐家汇店),体育休闲服务;娱乐场所;酒吧,livehouse,080304,core_candidate,saojie_31,,,BAAI/bge-m3,sentence-transformers,cuda,livehouse,amap_keytag,D0_AMAP_005_amap_category,D0_AMAP_005_keytag_for_bge,0.40321082
D0_AMAP_006,B0M6S94LR5,Kiss Me Live House OT PARTYK,B0M6S94LR5,Kiss Me Live House OT PARTYK,体育休闲服务;娱乐场所;酒吧,livehouse,080304,core_candidate,saojie_31,,,BAAI/bge-m3,sentence-transformers,cuda,livehouse,amap_keytag,D0_AMAP_006_amap_category,D0_AMAP_006_keytag_for_bge,0.40321082
D0_AMAP_007,B0J65BG21T,LISTEN LIVEHOUSE(大宁国际店),B0J65BG21T,LISTEN LIVEHOUSE(大宁国际店),餐饮服务;餐饮相关场所;餐饮相关,livehouse,050000,core_candidate,saojie_31,,,BAAI/bge-m3,sentence-transformers,cuda,livehouse,amap_keytag,D0_AMAP_007_amap_category,D0_AMAP_007_keytag_for_bge,0.31665641
D0_AMAP_008,B0K1GZWV25,M Live House,B0K1GZWV25,M Live House,体育休闲服务;娱乐场所;酒吧,livehouse,080304,core_candidate,saojie_31,,,BAAI/bge-m3,sentence-transformers,cuda,livehouse,amap_keytag,D0_AMAP_008_amap_category,D0_AMAP_008_keytag_for_bge,0.40321082
D0_AMAP_009,B0HGMX0GDR,M-BOX Livehouse,B0HGMX0GDR,M-BOX Livehouse,餐饮服务;中餐厅;中餐厅,livehouse,050100,core_candidate,saojie_31,,,BAAI/bge-m3,sentence-transformers,cuda,livehouse,amap_keytag,D0_AMAP_009_amap_category,D0_AMAP_009_keytag_for_bge,0.34574419
D0_AMAP_010,B00156F9IZ,MAO Livehouse上海,B00156F9IZ,MAO Livehouse上海,体育休闲服务;娱乐场所;酒吧,livehouse,080304,core_candidate,saojie_31,,,BAAI/bge-m3,sentence-transformers,cuda,livehouse,amap_keytag,D0_AMAP_010_amap_category,D0_AMAP_010_keytag_for_bge,0.40321082
