canonical_venue_id,canonical_name,n_captions,mean,p10,p50,p90,min,max
B0FFK039C0,育音堂音乐公园,20,0.549232,0.473718,0.547804,0.617705,0.445257,0.633814
B0K1GH12UJ,瓦肆VASest(徐汇店),19,0.546173,0.456345,0.535184,0.650263,0.425991,0.691151
B00156F9IZ,MAO Livehouse上海,18,0.596441,0.517462,0.583139,0.692852,0.484968,0.740730
B0FFJC7JRJ,瓦肆VAS ear(普陀沪西店),18,0.580004,0.474922,0.587553,0.649006,0.426979,0.697994
B0KGU5Y44N,JZ Club(上海店),18,0.567831,0.496227,0.569891,0.643986,0.417689,0.656050
B0FFHL47AW,摩登天空(瑞虹天地月亮湾店),17,0.504827,0.441196,0.525497,0.563261,0.376972,0.575844
B0L6ZS2HCU,SandBar,17,0.486878,0.389888,0.498515,0.556291,0.386322,0.595117
B0L3OCYHBO,育音堂小镇YUYINTOWN,16,0.482328,0.408429,0.494938,0.527620,0.387727,0.565399
B0MDLKEG3Y,GT·CH8 LIVE(上海店),16,0.531951,0.426546,0.553918,0.621406,0.397597,0.625779
B0KD5HRWR2,半笑酒馆·南京东路店·精酿啤酒·脱口秀演出·艺术空间,14,0.652175,0.595393,0.637645,0.719826,0.555181,0.740183
B0FFFA2W1B,上海保利大剧院(白银路店),13,0.529141,0.496254,0.526605,0.572713,0.479239,0.577591
B0JB9NQRQG,新歌空间,12,0.461513,0.414903,0.451749,0.527656,0.370469,0.567121
B0LDLRTG54,回响之地Music Park,12,0.553477,0.452627,0.551831,0.680318,0.426615,0.692219
B0LUM40X9D,MOSHSPACE摩什空间Live House,12,0.525757,0.413538,0.500798,0.636235,0.381367,0.655273
B0LD3RKPGF,绿洲Oasis,11,0.538459,0.457529,0.561691,0.599599,0.412599,0.605886
B0FFHPDIFD,恺悦·星在文化中心,10,0.452716,0.374544,0.452525,0.527601,0.330087,0.584047
B0LDDZGY1Y,CAVE ART VENUE,10,0.482778,0.415593,0.479600,0.540367,0.412569,0.594712
B0KDDC8NNM,EXIT Club,9,0.513040,0.422363,0.518542,0.590237,0.410690,0.624736
B0FFIJRCE8,林肯爵士乐上海中心(外滩中央商场店),8,0.564959,0.481445,0.557507,0.654193,0.417948,0.700510
B0HRC4JNFM,THE PEARL(乍浦路店),8,0.500960,0.464441,0.502629,0.536997,0.451592,0.559192
B0KDMR9922,MAX,8,0.573027,0.504709,0.554645,0.666296,0.493456,0.681089
B0L6CGIFN1,FENRIR Shanghai,8,0.442256,0.368115,0.454344,0.503591,0.329019,0.565925
B0LRKXJX0R,青春无限音乐厅(上海广场店),8,0.564258,0.497176,0.571174,0.628920,0.474629,0.635778
B0L2VU8F84,EncoreSpace·意空间见,7,0.564198,0.468823,0.562716,0.654203,0.429825,0.721678
B0L6SO5BQE,Cream Club奶油俱乐部,7,0.543307,0.450249,0.541523,0.632701,0.397127,0.722559
B0L1GCB2OE,可游米 live house,6,0.488542,0.417205,0.475469,0.572953,0.394513,0.574780
B00155R1FD,上海东方艺术中心,5,0.500491,0.447889,0.509213,0.551270,0.447889,0.561423
B0FFMGJ62H,古北9唐LIVEHOUSE,5,0.550041,0.438689,0.588158,0.637897,0.412025,0.646812
B0HGMX0GDR,M-BOX Livehouse,4,0.578964,0.545406,0.582024,0.610073,0.535403,0.616404
B0FFH0HZ5Y,上海Chair Club,2,0.527536,0.511677,0.527536,0.543395,0.507712,0.547360
B0FFKZZXL7,煤气灯LIVEHOUSE(田尚坊店),2,0.693062,0.645927,0.693062,0.740198,0.634143,0.751982
B0JDZZBY5N,蜚声上海PHASE LIVE HOUSE SHANGHAI,2,0.661023,0.596985,0.661023,0.725062,0.580975,0.741072
B0J65BG21T,LISTEN LIVEHOUSE(大宁国际店),1,0.678058,0.678058,0.678058,0.678058,0.678058,0.678058
