canonical_venue_id,canonical_name_cn,amap_name,showstart_name,amap_keytag,overall_status,proposed_en,en_source,needs_review,canonical_name_en
B0MDLKEG3Y,GT·CH8 LIVE(上海店),GT·CH8 LIVE(上海店),GT·CH8 LIVE（上海店）,酒吧,boundary_case,GT·CH8 LIVE,showstart,False,GT·CH8 LIVE
B0FFHL47AW,摩登天空(瑞虹天地月亮湾店),摩登天空(瑞虹天地月亮湾店),MODERN SKY LAB,酒吧,boundary_case,MODERN SKY LAB,showstart,False,MODERN SKY LAB
B0J19RX3JH,DS·衡8 live house,DS·衡8 live house,,livehouse,core_candidate,DS Heng 8 Livehouse,showstart,False,DS Heng 8 Livehouse
B0L0VMI3L8,FG CLUB,FG CLUB,,livehouse,core_candidate,FG CLUB,showstart,False,FG CLUB
B0FFHE28PW,Horse露台酒吧·Live House(徐家汇店),Horse露台酒吧·Live House(徐家汇店),,livehouse,core_candidate,Horse Live House (Xujiahui),showstart,False,Horse Live House (Xujiahui)
B0M6S94LR5,Kiss Me Live House OT PARTYK,Kiss Me Live House OT PARTYK,,livehouse,core_candidate,Kiss Me Live House OT PARTYK,showstart,False,Kiss Me Live House OT PARTYK
B0J65BG21T,LISTEN LIVEHOUSE(大宁国际店),LISTEN LIVEHOUSE(大宁国际店),,livehouse,core_candidate,LISTEN LIVEHOUSE,showstart,False,LISTEN LIVEHOUSE
B0K1GZWV25,M Live House,M Live House,,livehouse,core_candidate,M Live House,showstart,False,M Live House
B0HGMX0GDR,M-BOX Livehouse,M-BOX Livehouse,,livehouse,core_candidate,M-BOX Livehouse,showstart,False,M-BOX Livehouse
B00156F9IZ,MAO Livehouse上海,MAO Livehouse上海,上海 MAO Livehouse,livehouse,core_candidate,MAO Livehouse Shanghai,showstart,False,MAO Livehouse Shanghai
B0KK9HTSS0,ME HUB·LIVE HOUSE,ME HUB·LIVE HOUSE,,livehouse,core_candidate,ME HUB·LIVE HOUSE,showstart,False,ME HUB·LIVE HOUSE
B0LUM40X9D,MOSHSPACE摩什空间Live House,MOSHSPACE摩什空间Live House,MOSH SPACE摩什空间,livehouse,core_candidate,MOSH SPACE,showstart,False,MOSH SPACE
B0JDKR3BP4,MOSSO·LiveHouse(M3香港广场店),MOSSO·LiveHouse(M3香港广场店),,livehouse,core_candidate,MOSSO·LiveHouse,showstart,False,MOSSO·LiveHouse
B0J0GHBMMP,MYST CLUB,MYST CLUB,,livehouse,core_candidate,MYST CLUB,showstart,False,MYST CLUB
B0L66AK330,OM28E LIVE HOUSE,OM28E LIVE HOUSE,,livehouse,core_candidate,OM28E LIVE HOUSE,showstart,False,OM28E LIVE HOUSE
B0FFMGJ62H,古北9唐LIVEHOUSE,古北9唐LIVEHOUSE,,酒吧,core_candidate,Gubei 9 Tang Livehouse,showstart,False,Gubei 9 Tang Livehouse
B0L1GCB2OE,可游米 live house,可游米 live house,可游米live house,livehouse,core_candidate,keyoumi live house,showstart,False,keyoumi live house
B0K2L5NTSK,壳live house,壳live house,,livehouse,core_candidate,Ke Livehouse,showstart,False,Ke Livehouse
B0J0G77UCK,岸live house,岸live house,,livehouse,core_candidate,An Livehouse,showstart,False,An Livehouse
B0GKJGXQNO,恋空Live House音乐餐吧,恋空Live House音乐餐吧(东渡蛙城店),,酒吧,core_candidate,Liankong Livehouse,showstart,False,Liankong Livehouse
B0K3RCYFZ8,拾贰民谣小酒馆(上海静安店),拾贰民谣小酒馆(上海静安店),,livehouse,core_candidate,Shier Folk Bar,showstart,False,Shier Folk Bar
B0MBT5CX1A,无相酒吧Live house,无相酒吧Live house,,酒吧,core_candidate,Wuxiang Livehouse,showstart,False,Wuxiang Livehouse
B0FFKZZXL7,煤气灯LIVEHOUSE(田尚坊店),煤气灯LIVEHOUSE(田尚坊店),,livehouse,core_candidate,Gaslight Livehouse,showstart,False,Gaslight Livehouse
B0M6URR3ZX,燃·livehouse,燃·livehouse,,livehouse,core_candidate,Ran Livehouse,showstart,False,Ran Livehouse
B0FFJC7JRJ,瓦肆VAS ear(普陀沪西店),瓦肆VAS ear(普陀沪西店),瓦肆 VAS ear（普陀店）,livehouse,core_candidate,VAS ear,showstart,False,VAS ear
B0K1GH12UJ,瓦肆VASest(徐汇店),瓦肆VASest(徐汇店),瓦肆 VAS est（徐汇店）,livehouse,core_candidate,VAS est,showstart,False,VAS est
