showstart_layer_id,venue_layer,showstart_site_id,venue_name_showstart,venue_name_variants,event_count,genre_names,livehouse_confidence,triage_label,promotion_status,amap_poi_id,canonical_venue_id,source_paths,notes
ss_layer_0001,L1_registered,11758225,7HERTZ LIVE,7HERTZ LIVE,11,HipHop|动漫|摇滚|流行|轻音乐|金属,high,registered_venue,core_candidate,B0HAY503VW,B0HAY503VW,D:/MY/Thesis/code/clean_data/showstart/run2/showstart_venues_aggregated.csv;D:/MY/Thesis/code/clean_data/showstart/run2/showstart_events_clean.csv;D:/MY/Thesis/code/raw_data/Show_start_data/venue_11758225_20260617T060339Z.json,registered_showstart_venue; preserve child records separately where applicable
ss_layer_0002,L1_registered,19511224,GT·CH8 LIVE（上海店）,GT·CH8 LIVE（上海店）,2,HipHop|电子|节奏布鲁斯,high,registered_venue,core_candidate,B0MDLKEG3Y,B0MDLKEG3Y,D:/MY/Thesis/code/clean_data/showstart/run2/showstart_venues_aggregated.csv;D:/MY/Thesis/code/clean_data/showstart/run2/showstart_events_clean.csv;D:/MY/Thesis/code/raw_data/Show_start_data/venue_19511224_20260617T060339Z.json,registered_showstart_venue; preserve child records separately where applicable
ss_layer_0003,L1_registered,226497,MODERN SKY LAB,MODERN SKY LAB上海,6,HipHop|摇滚|极端金属|核|独立|金属,high,registered_venue,core_candidate,B0FFHL47AW,B0FFHL47AW,D:/MY/Thesis/code/clean_data/showstart/run2/showstart_venues_aggregated.csv;D:/MY/Thesis/code/clean_data/showstart/run2/showstart_events_clean.csv;D:/MY/Thesis/code/raw_data/Show_start_data/venue_226497_20260617T060339Z.json,registered_showstart_venue; preserve child records separately where applicable
ss_layer_0004,L1_registered,23887424,MOSH SPACE摩什空间,MOSH SPACE摩什空间,6,朋克|极端金属|民谣|独立|金属,high,registered_venue,core_candidate,B0LUM40X9D,B0LUM40X9D,D:/MY/Thesis/code/clean_data/showstart/run2/showstart_venues_aggregated.csv;D:/MY/Thesis/code/clean_data/showstart/run2/showstart_events_clean.csv;D:/MY/Thesis/code/raw_data/Show_start_data/venue_23887424_20260617T060339Z.json,registered_showstart_venue; preserve child records separately where applicable
ss_layer_0005,L1_registered,4695060,上海 JZ CLUB,上海 JZ CLUB,13,爵士,high,registered_venue,core_candidate,B0KGU5Y44N,B0KGU5Y44N,D:/MY/Thesis/code/clean_data/showstart/run2/showstart_venues_aggregated.csv;D:/MY/Thesis/code/clean_data/showstart/run2/showstart_events_clean.csv;D:/MY/Thesis/code/raw_data/Show_start_data/venue_4695060_20260617T060339Z.json,registered_showstart_venue; preserve child records separately where applicable
ss_layer_0006,L1_registered,3976,上海 MAO Livehouse,上海 MAO Livehouse,11,HipHop|世界音乐|摇滚|流行|独立|电子|轻音乐|金属,high,registered_venue,core_candidate,B00156F9IZ,B00156F9IZ,D:/MY/Thesis/code/clean_data/showstart/run2/showstart_venues_aggregated.csv;D:/MY/Thesis/code/clean_data/showstart/run2/showstart_events_clean.csv;D:/MY/Thesis/code/raw_data/Show_start_data/venue_3976_20260617T060339Z.json,registered_showstart_venue; preserve child records separately where applicable
ss_layer_0007,L1_registered,6802453,上海 PHASE蜚声LIVEHOUSE,上海 PHASE蜚声LIVEHOUSE,2,HipHop,high,registered_venue,core_candidate,B0JDZZBY5N,B0JDZZBY5N,D:/MY/Thesis/code/clean_data/showstart/run2/showstart_venues_aggregated.csv;D:/MY/Thesis/code/clean_data/showstart/run2/showstart_events_clean.csv;D:/MY/Thesis/code/raw_data/Show_start_data/venue_6802453_20260617T060339Z.json;D:/MY/Thesis/code/raw_data/Show_start_data/venue_6802453_20260617T092632Z.json,registered_showstart_venue; preserve child records separately where applicable
ss_layer_0008,L1_registered,24709640,可游米live house,可游米live house,2,动漫,high,registered_venue,core_candidate,B0L1GCB2OE,B0L1GCB2OE,D:/MY/Thesis/code/clean_data/showstart/run2/showstart_venues_aggregated.csv;D:/MY/Thesis/code/clean_data/showstart/run2/showstart_events_clean.csv;D:/MY/Thesis/code/raw_data/Show_start_data/venue_24709640_20260617T060339Z.json,registered_showstart_venue; preserve child records separately where applicable
ss_layer_0009,L1_registered,9801785,星在文化中心,星在文化中心 1F梦想剧场|星在文化中心 2F未来剧场,10,HipHop|世界音乐|独立|电子|金属,high,registered_venue,core_candidate,B0FFHPDIFD,B0FFHPDIFD,D:/MY/Thesis/code/clean_data/showstart/run2/showstart_venues_aggregated.csv;D:/MY/Thesis/code/clean_data/showstart/run2/showstart_events_clean.csv;D:/MY/Thesis/code/raw_data/Show_start_data/venue_9801785_20260617T060339Z.json,registered_showstart_venue; preserve child records separately where applicable
ss_layer_0010,L1_registered,18165038,林肯爵士乐上海中心,林肯爵士乐上海中心,4,世界音乐|流行|爵士,high,registered_venue,core_candidate,B0FFIJRCE8,B0FFIJRCE8,D:/MY/Thesis/code/clean_data/showstart/run2/showstart_venues_aggregated.csv;D:/MY/Thesis/code/clean_data/showstart/run2/showstart_events_clean.csv;D:/MY/Thesis/code/raw_data/Show_start_data/venue_18165038_20260617T060339Z.json;D:/MY/Thesis/code/raw_data/Show_start_data/venue_18165038_20260617T092704Z.json,registered_showstart_venue; preserve child records separately where applicable
