canonical_venue_id,canonical_name,observation_layer,observation_unit,sample_n_any_engagement,heat_formula,comparison_group,likes_sum,likes_n_nonnull,likes_rate,likes_coverage,saves_sum,saves_n_nonnull,saves_rate,saves_coverage,comments_sum,comments_n_nonnull,comments_rate,comments_coverage,heat_score_sum,heat_score_n_nonnull,heat_score_rate,heat_score_coverage,likes_within_layer_z,saves_within_layer_z
B00155R1FD,上海东方艺术中心,dots_screen,screen,17,likes + 2*saves,dots_screen,9588.0,17,564.0,1.0,516.0,15,34.4,0.8823529411764706,547.0,10,54.7,0.5882352941176471,10593.0,,,,3.041483690589408,-0.040832969560568526
B00156F9IZ,MAO Livehouse上海,legacy_post,post,18,likes + 2*saves,legacy_post,1320.0,18,73.33333333333333,1.0,110.0,5,22.0,0.2777777777777778,130.0,5,26.0,0.2777777777777778,554.0,,,,-0.7071067811865475,
B0FFFA2W1B,上海保利大剧院(白银路店),dots_screen,screen,4,likes + 2*saves,dots_screen,232.0,4,58.0,1.0,129.0,3,43.0,0.75,17.0,2,8.5,0.5,488.0,,,,-0.36731580739848246,0.06279502946823214
B0FFH0HZ5Y,上海Chair Club,dots_screen,screen,18,likes + 2*saves,dots_screen,4981.0,18,276.72222222222223,1.0,4148.0,18,230.44444444444446,1.0,177.0,12,14.75,0.6666666666666666,13277.0,,,,1.1061628513167487,2.321456972124391
B0FFHL47AW,摩登天空(瑞虹天地月亮湾店),legacy_post,post,8,likes + 2*saves,legacy_post,,0,,,,0,,,,0,,,,,,,,
B0FFHPDIFD,恺悦·星在文化中心,dots_screen,screen,4,likes + 2*saves,dots_screen,355.0,4,88.75,1.0,48.0,4,12.0,1.0,7.0,3,2.3333333333333335,0.75,451.0,,,,-0.16016050193775588,-0.3107477577286074
B0FFIJRCE8,林肯爵士乐上海中心(外滩中央商场店),dots_screen,screen,14,likes + 2*saves,dots_screen,750.0,14,53.57142857142857,1.0,194.0,12,16.166666666666668,0.8571428571428571,108.0,9,12.0,0.6428571428571429,1129.0,,,,-0.39715002096077057,-0.26054039385806443
B0FFJC7JRJ,瓦肆VAS ear(普陀沪西店),legacy_post,post,10,likes + 2*saves,legacy_post,1747.0,10,174.7,1.0,,0,,,,0,,,,,,,0.7071067811865477,
B0FFK039C0,育音堂音乐公园,legacy_post,post,14,likes + 2*saves,legacy_post,,0,,,,0,,,,0,,,,,,,,
B0FFKZZXL7,煤气灯LIVEHOUSE(田尚坊店),dots_screen,screen,13,likes + 2*saves,dots_screen,6106.0,13,469.6923076923077,1.0,639.0,13,49.15384615384615,1.0,148.0,7,21.142857142857142,0.5384615384615384,7384.0,,,,2.4061555992952224,0.13694744380011095
B0FFMGJ62H,古北9唐LIVEHOUSE,dots_screen,screen,8,likes + 2*saves,dots_screen,413.0,8,51.625,1.0,251.0,7,35.857142857142854,0.875,17.0,1,17.0,0.125,912.0,,,,-0.41026263901838916,-0.02327473716698438
B0HGMX0GDR,M-BOX Livehouse,dots_screen,screen,10,likes + 2*saves,dots_screen,4438.0,10,443.8,1.0,3923.0,10,392.3,1.0,2206.0,6,367.6666666666667,0.6,12284.0,,,,2.231725390869755,4.271778757463588
B0HRC4JNFM,THE PEARL(乍浦路店),dots_screen,screen,11,likes + 2*saves,dots_screen,1197.0,11,108.81818181818181,1.0,269.0,10,26.9,0.9090909090909091,104.0,5,20.8,0.45454545454545453,1727.0,,,,-0.02496601951216721,-0.13120622452754582
